date;tavg;tmin;tmax;prcp;snow;pres;tsun
01.01.2024 00:00;8;7;9,4;5,3;0;1011,2;66
02.01.2024 00:00;9,2;7,3;11,1;18,3;0;1002,3;0
03.01.2024 00:00;10,5;8,6;12,2;11,3;0;999,9;24
04.01.2024 00:00;8,5;3,3;10,4;0,2;0;1006,9;156
05.01.2024 00:00;6,1;1,8;10;0;0;1004,6;42
06.01.2024 00:00;5,2;4,2;5,9;4,6;0;1009,5;0
07.01.2024 00:00;2,8;-0,7;5;0,2;0;1017,3;0
08.01.2024 00:00;-1,3;-4,8;0;0;0;1025,6;0
09.01.2024 00:00;-3,4;-5,4;-0,6;0;0;1028,4;306
10.01.2024 00:00;-2,1;-4,5;1,1;0;0;1028;420
11.01.2024 00:00;-3,2;-6,6;1;0;0;1030,7;420
12.01.2024 00:00;-3,2;-7,6;0,4;0;0;1032,6;318
13.01.2024 00:00;-2;-2,7;-1,2;0;0;1026,5;0
14.01.2024 00:00;-3;-4,5;-1,8;0;0;1014,7;0
15.01.2024 00:00;-0,3;-2,2;1,4;0,9;0;1008,4;0
16.01.2024 00:00;-1,6;-6,3;2,8;1,1;10;1011,4;312
17.01.2024 00:00;1,4;-5,2;12,5;19,6;0;993,5;0
18.01.2024 00:00;-0,2;-7,7;10,7;11,7;0;999,5;0
19.01.2024 00:00;-3,6;-9,6;0,2;0;40;1023,2;102
20.01.2024 00:00;-6,1;-12,3;0,2;0;40;1032;432
21.01.2024 00:00;-1,5;-6;6,4;0;40;1029,4;192
22.01.2024 00:00;7,5;-0,9;11,8;5,4;20;1020,1;0
23.01.2024 00:00;8,4;5,6;11,2;0,5;0;1028,7;162
24.01.2024 00:00;11,9;10,1;14,2;1,9;0;1026,9;6
25.01.2024 00:00;9,4;6;11,8;1,6;0;1030,4;222
26.01.2024 00:00;8,4;-0,5;11,7;2,7;0;1029,4;0
27.01.2024 00:00;2,1;-3,1;8,6;0;0;1037,1;462
28.01.2024 00:00;0,6;-4;8,7;0;0;1032,8;468
29.01.2024 00:00;1,7;-3,4;10,5;0;0;1031,4;372
30.01.2024 00:00;4,1;-2,1;10;0,1;0;1032,5;102
31.01.2024 00:00;8,6;6,9;10,6;0,9;0;1033,5;12
01.02.2024 00:00;7,9;1,3;10;3,6;0;1031,6;18
02.02.2024 00:00;7,1;0,1;10,7;0;0;1032,9;168
03.02.2024 00:00;8,5;7;9,6;0;0;1030,9;6
04.02.2024 00:00;8,4;7,1;9,8;0;0;1028,4;0
05.02.2024 00:00;7,8;4,8;10,4;0;0;1025,4;54
06.02.2024 00:00;7,6;5,3;9,8;0,1;0;1019,8;66
07.02.2024 00:00;9,1;8,1;9,8;12,2;0;1009,2;0
08.02.2024 00:00;10,8;8,9;13;7,6;0;1000,9;0
09.02.2024 00:00;11,1;9;14,1;4;0;991,9;0
10.02.2024 00:00;9,1;5;12,2;4;0;987,7;18
11.02.2024 00:00;8,6;6,7;10,9;1;0;994,9;24
12.02.2024 00:00;8,2;4,5;10,3;0;0;1007;36
13.02.2024 00:00;6,3;1,7;10,6;0;0;1020,7;168
14.02.2024 00:00;10;3,1;13,5;0;0;1022;6
15.02.2024 00:00;12,1;8,3;16,9;0;0;1018,6;198
16.02.2024 00:00;11,5;6,6;17,8;4,8;0;1018,2;60
17.02.2024 00:00;10,5;5,2;14,9;0;0;1031,2;288
18.02.2024 00:00;7,9;3,4;11,1;5,7;0;1031;0
19.02.2024 00:00;9,7;8,6;11,6;0,9;0;1028,7;0
20.02.2024 00:00;8,2;6,3;11,3;0,9;0;1029,9;210
21.02.2024 00:00;8,5;4,6;12,1;6;0;1019,7;12
22.02.2024 00:00;10,7;7,9;13,8;9,5;0;997,8;0
23.02.2024 00:00;7,6;4,9;10,5;0,2;0;998,3;300
24.02.2024 00:00;5;-0,9;9,6;0,3;0;1003,8;180
25.02.2024 00:00;6,2;-0,9;12,1;1,7;0;1003,6;360
26.02.2024 00:00;9,9;6,1;14,2;0,4;0;1000,7;168
27.02.2024 00:00;8,7;5,8;11,4;0;0;1012,8;24
28.02.2024 00:00;5,8;0,1;10,3;0;0;1021,5;462
29.02.2024 00:00;3,6;-1,6;12;0;0;1014,7;330
01.03.2024 00:00;5,6;0,9;9,8;0;0;1007,4;0
02.03.2024 00:00;7,9;-1,2;15,8;0;0;1003,3;402
03.03.2024 00:00;10,1;6,6;16,2;0;0;999,6;204
04.03.2024 00:00;8,1;7,5;8,6;0,2;0;1010,7;0
05.03.2024 00:00;7,3;3;10,7;0,7;0;1015,7;60
06.03.2024 00:00;6,3;3,8;8,8;2;0;1021,8;0
07.03.2024 00:00;6,3;2,8;8,9;0;0;1020,7;318
08.03.2024 00:00;5,9;2,2;10,2;0;0;1010,9;582
09.03.2024 00:00;9,9;3,8;16,3;0;0;1001,5;390
10.03.2024 00:00;9,4;7;13;5,8;0;995,7;24
11.03.2024 00:00;9,6;5,5;14,1;0;0;1006;420
12.03.2024 00:00;7,9;6;9,7;19,6;0;1016,9;0
13.03.2024 00:00;10,4;7,1;14,6;3,6;0;1017,6;60
14.03.2024 00:00;10,9;5;18,4;0;0;1015;456
15.03.2024 00:00;12,1;8;15,6;6,8;0;1013,9;126
